profession|name|rarity|dabHandChance|recycleChance|proficiency|focus
Blacksmith|Liusaidh Ruaric|Rare|0.2|0|450.0|377.0
Blacksmith|Mayrunn Bronzefinger|Rare|0|0.25|405.0|428.0
Blacksmith|Olibhia Highcreek|Rare|0|0|428.0|439.0
Blacksmith|Stofen Xuleniir|Rare|0|0|433.0|394.0
Blacksmith|Yaelyn Mitrliir|Rare|0|0|394.0|433.0
Blacksmith|Min Gan|Epic|0|0|433.0|439.0
Blacksmith|Rudolph Wieland|Epic|0|0|444.0|439.0
Blacksmith|Tia Ingelri|Epic|0|0|450.0|371.0
Blacksmith|Tokuro Osafune|Epic|0|0.25|405.0|450.0
Blacksmith|Ulfberht|Epic|0|0|416.0|444.0
Blacksmith|Zinaida|Epic|0.2|0|450.0|450.0
Any|Karmela Valeri|Epic|0|0|433.0|433.0
Jeweler|Boern Norrdal|Common|0|0|433.0|394.0
Jeweler|Bree Underleaf|Common|0.15|0|422.0|360.0
Jeweler|Brenndan Qelgal|Common|0|0.1|360.0|439.0
Jeweler|Haie Xilomne|Common|0|0|377.0|377.0
Jeweler|Naidyn Emenshire|Common|0|0.05|405.0|394.0
Jeweler|Nasrii Zadan|Common|0|0|433.0|383.0
Jeweler|Ned Stonebottom|Common|0.05|0|433.0|383.0
Jeweler|Nifhild Amberbeard|Common|0|0|422.0|388.0
Jeweler|Saveed Al'Thabt|Common|0|0|383.0|433.0
Jeweler|Patime Hoshur|Common|0|0|383.0|383.0
Jeweler|Aen Coppler|Rare|0|0|428.0|433.0
Jeweler|Aiha Amaphilel|Rare|0|0|371.0|371.0
Jeweler|Alyss Quorthlyn|Rare|0|0|428.0|422.0
Jeweler|Arrin Whistleleaf|Rare|0|0.15|439.0|399.0
Jeweler|Carazza Flaraalys|Rare|0|0|383.0|439.0
Jeweler|Eban Lodell|Rare|0|0.15|411.0|411.0
Jeweler|Gerard t'Orryn|Rare|0|0|422.0|394.0
Jeweler|Rennet Brodau|Rare|0|0|399.0|439.0
Jeweler|Silla Clearlake|Rare|0|0.2|383.0|433.0
Jeweler|Tresse Ambryn|Rare|0.2|0|433.0|428.0
Jeweler|Charlette Favri|Epic|0|0.25|416.0|450.0
Jeweler|Halsstra T'Zovrrin|Epic|0|0|405.0|405.0
Jeweler|Olin Diamondeye|Epic|0|0.1|444.0|428.0
Jeweler|Pharlen Ghiberti|Epic|0|0|433.0|377.0
Jeweler|Tuala Uwoke|Epic|0.2|0|433.0|433.0
Jeweler|Volen Naimne|Epic|0|0|377.0|450.0
Any|Karmela Valeri|Epic|0|0|433.0|433.0
Leatherworker|Aera Dornberg|Common|0.1|0|433.0|377.0
Leatherworker|Bentten Jokkard|Common|0|0|377.0|416.0
Leatherworker|Brenna Olem|Common|0|0.05|399.0|399.0
Leatherworker|Fen Winterfield|Common|0|0|388.0|388.0
Leatherworker|Jaqueyn Locel|Common|0|0|388.0|383.0
Leatherworker|Mella Brightshore|Common|0|0|433.0|388.0
Leatherworker|Nort Mintmountain|Common|0|0|371.0|439.0
Leatherworker|Saera Ourynn|Common|0|0.25|388.0|394.0
Leatherworker|Sundien Nodariel|Common|0|0.1|405.0|405.0
Leatherworker|Tristoph Galvaan|Common|0|0|428.0|377.0
Leatherworker|Bhatair Auchald|Rare|0|0.15|405.0|405.0
Leatherworker|Blenha Strozzck|Rare|0|0|360.0|439.0
Leatherworker|Corriel Ourman|Rare|0|0|428.0|433.0
Leatherworker|Emendel Incesu|Rare|0|0|439.0|439.0
Leatherworker|Emlyn Feststone|Rare|0|0.2|388.0|439.0
Leatherworker|Jalaj Das|Rare|0|0|383.0|433.0
Leatherworker|Krassyk|Rare|0.25|0|439.0|371.0
Leatherworker|Lia Stengrat|Rare|0|0|405.0|428.0
Leatherworker|Nona Grassheart|Rare|0.2|0|439.0|388.0
Leatherworker|Sandurai Astemmdal|Rare|0|0.25|450.0|360.0
Leatherworker|Alma Greydawn|Epic|0|0|360.0|450.0
Leatherworker|Brokkah|Epic|0|0|450.0|360.0
Leatherworker|Fenka Sturmdottir|Epic|0|0|444.0|444.0
Leatherworker|Lond Dawnwhisper|Epic|0.25|0|428.0|428.0
Leatherworker|Oteyu N'Mab|Epic|0|0|388.0|450.0
Leatherworker|Yul Summerstar|Epic|0|0.25|405.0|450.0
Any|Karmela Valeri|Epic|0|0|433.0|433.0
Tailor|Berg Donatan|Common|0|0|371.0|422.0
Tailor|Eccla Northgrace|Common|0|0|383.0|411.0
Tailor|Estel Tomme|Common|0|0|388.0|439.0
Tailor|Hem Samthiel|Common|0|0|388.0|439.0
Tailor|Jen Grasshill|Common|0|0.2|433.0|366.0
Tailor|Lazzag Z'Rozze|Common|0|0|388.0|388.0
Tailor|Mendo Norende|Common|0|0.1|428.0|383.0
Tailor|Nona Kalimda|Common|0|0.05|399.0|405.0
Tailor|Norma Otharda|Common|0.1|0|439.0|371.0
Tailor|Ord Silverpinch|Common|0|0.05|428.0|428.0
Tailor|Edward Nublann|Rare|0.1|0|405.0|416.0
Tailor|Ekkla|Rare|0|0.05|428.0|439.0
Tailor|Evan Mintbottom|Rare|0|0|416.0|416.0
Tailor|Fenna Darkmoon|Rare|0.2|0|428.0|371.0
Tailor|Lem Eastgrass|Rare|0|0|399.0|439.0
Tailor|Leyrah Olme|Rare|0|0|371.0|439.0
Tailor|Longelen Ortuliel|Rare|0|0|399.0|439.0
Tailor|Sey Mapleway|Rare|0.15|0|450.0|371.0
Tailor|Sezzra D'rrol|Rare|0|0|450.0|383.0
Tailor|Treylo Grassmantle|Rare|0|0|399.0|411.0
Tailor|Clefra Niyelyn|Epic|0|0|422.0|450.0
Tailor|Emmet Crocha|Epic|0|0|439.0|439.0
Tailor|Inaya Lanuit|Epic|0|0|444.0|360.0
Tailor|Isayel Kostrad|Epic|0|0|405.0|450.0
Tailor|Teclel Jondrathal|Epic|0|0.25|450.0|450.0
Tailor|Yeul Gustaverg|Epic|0.25|0|439.0|416.0
Any|Karmela Valeri|Epic|0|0|433.0|433.0
