name|price|mwTier|source
Mote of Soulfire|18000.0|Chultan|Tomb of the Nine Gods
Mudstone|0.0|N/A|Gathering
Myrrh Branch|0.0|N/A|Gathering
Mysterious Bone|0.0|Undermountain|Explorer Chart: Twisted Caverns
Natron|0.0|N/A|Gathering
Nerium|0.0|N/A|Gathering
Nettle|0.0|N/A|Gathering
Nightleaf Tea|0.0|Undermountain|Explorer Chart: Twisted Caverns
Nightshade|0.0|N/A|Gathering
Oak Log|0.0|N/A|Gathering
Obsidian|4400.0|Chultan|Explorer Chart: Omu
Palm Wax|0.0|Chultan|Chultan Palm Leaves
Parsnip|0.0|N/A|Gathering
Pennyroyal|0.0|N/A|Gathering
Philosopher's Bounty|12500.0|N/A|Lockbox
Philosopher's Calm|0.0|N/A|Lockbox
Philosopher's Focus|0.0|N/A|Lockbox
Philosopher's Haste|0.0|N/A|Lockbox
Philosopher's Keep|2600.0|N/A|Lockbox
Philosopher's Quick|0.0|N/A|Lockbox
Pine Log|0.0|N/A|Gathering
Polar Bear Skin|3500.0|Chultan|GH Vendor
Potash|7000.0|Chultan|GH Vendor
Propolis|0.0|Chultan|Chultan Skill Nodes
Purple Beauty|0.0|N/A|Gathering
Putnisite|0.0|Undermountain|Explorer Chart: Twisted Caverns
Questionable Piece of Leather|5000.0|Sharandar|Festering Ranger NPC in the Mire
Raw Amethyst|0.0|N/A|Gathering
Raw Aquamarine|0.0|N/A|Gathering
Raw Black Opal|0.0|N/A|Gathering
Raw Blood Ruby|0.0|N/A|Gathering
Raw Emerald|0.0|N/A|Gathering
Raw Peridot|0.0|N/A|Gathering
Raw Sapphire|0.0|N/A|Gathering
Red Rouge|3500.0|Chultan|GH Vendor
Regalis Ore|0.0|N/A|Gathering
Regalis Sand|0.0|N/A|Gathering
Relic Iron Ingot|0.0|Legacy|"Fangbreaker Island / Spellplague Caverns"
Rhubarb|0.0|N/A|Gathering
River Trout|0.0|N/A|Gathering
Rock Salt|0.0|N/A|Gathering
Salt-Marsh Crystal|5000.0|Sharandar|GH Vendor
Samarachan Jute|500.0|Chultan|Explorer Chart: Omu
Sandstone|0.0|N/A|Gathering
Senna Leaves|0.0|Chultan|Profession Flowers Soshenstar
Shade Leaves|200.0|Sharandar|Explorer Chart: The Mires
Shadowdemon's Eyes|1800.0|Sharandar|Explorer Chart: The Mires
Shard of Dawn's Light|40000.0|Sharandar|Vault of Stars
Shark Oil|440.0|Legacy|Mysterious Merchant
Shattered Snowflakes|1000.0|Sharandar|Vault of Stars
Shimmerweed|0.0|N/A|Gathering
Shed Marblehorn|0.0|Undermountain|Explorer Chart: Wyllowwood
Silkworm Cocoon|150.0|Chultan|Explorer Chart: Soshenstar
Siltstone|0.0|N/A|Gathering
Silver Ore|0.0|N/A|Gathering
Silver Sand|0.0|N/A|Gathering
Silvertongue Moss|1000.0|Sharandar|Explorer Chart: The Ruins
Slate|0.0|N/A|Gathering
Soot|0.0|N/A|Gathering
Soulfire Flies|200.0|Sharandar|Explorer Chart: The Ruins
Spider Silk|100.0|Chultan|Spiders in Chult
Spring Water|0.0|N/A|Gathering
Sugar Beet|0.0|N/A|Gathering
Sweetgale|0.0|N/A|Gathering
Sword Coast Tea Leaves|0.0|N/A|Gathering
Sword Flax|0.0|N/A|Gathering
Tanner's Liquor|5500.0|Chultan|GH Vendor
Tarantula|0.0|N/A|Gathering
Teak|0.0|Chultan|Undead in Soshenstar
Tear of Ubtao|14000.0|Chultan|Tomb of the Nine Gods
Terebinth|1000.0|N/A|GH Vendor
Tin Ingot|0.0|Legacy|Mysterious Merchant
Tin Ore|0.0|N/A|Gathering
Tincal|4200.0|Chultan|GH Vendor
Tinker's Bounty|200.0|N/A|Lockbox
Tinker's Calm|0.0|N/A|Lockbox
Tinker's Focus|0.0|N/A|Lockbox
Tinker's Haste|0.0|N/A|Lockbox
Tinker's Keep|0.0|N/A|Lockbox
Tinker's Quick|0.0|N/A|Lockbox
Titania|7000.0|Chultan|GH Vendor
Toadstool|0.0|N/A|Gathering
Troll's Earwax Resin|1400.0|Sharandar|Explorer Chart: The Ruins
Twisted Toadstool|0.0|Undermountain|Explorer Chart: Twisted Caverns
Volcanic Salt|0.0|N/A|Gathering
Walnut Log|0.0|N/A|Gathering
Weeping Willow's Tears|4000.0|Sharandar|Explorer Chart: The Mires
Well Water|0.0|N/A|Gathering
Whitelip Oyster|0.0|N/A|Gathering
Wild Mint|0.0|N/A|Gathering
Wintergreen Sprig|0.0|N/A|Gathering
Woad|2000.0|Chultan|GH Vendor
Wolf Hide|0.0|N/A|Gathering
Wolf Sinew|0.0|N/A|Gathering
Wolfsbane|0.0|N/A|Gathering
Woodlily|0.0|N/A|Gathering
Wootz Steel Ore|0.0|Chultan|Chultan Skill Nodes
Worm Blood|0.0|Undermountain|Explorer Chart: Terminus
Worm Tooth|0.0|Undermountain|Explorer Chart: Terminus
Wyllowwood Lemon|0.0|Undermountain|Explorer Chart: Wyllowwood
Wyllowwood Walnut|0.0|Undermountain|Explorer Chart: Wyllowwood
Yew Log|0.0|N/A|Gathering
Zinc Ore|0.0|N/A|Gathering
Wintergreen Balm|200.0|N/A|Alchemy, Level 19
Wintergreen Tea|0.0|N/A|Alchemy, Level 19
Gold|200.0|N/A|Various places
