name|quantity|canDabHand|proficiency|focus|unlock|profession|commission|recipe|type|class|slot|equipBonus
Crafted Potion of Critical Avoidance Rank 5|12.0|False|1050|1126|Chultan Masterwork - Alchemy II|Alchemy|0.5|"[[12.0, 'Sparkling Water'], [3.0, 'Twisted Toadstool'], [1.0, 'Alkali'], [3.0, 'Wild Mint'], [1.0, 'Honey']]"|Potion|N/A|Belt|-
Crafted Potion of Critical Strike Rank 5|12.0|False|1050|1126|Chultan Masterwork - Alchemy II|Alchemy|0.5|"[[12.0, 'Sparkling Water'], [3.0, 'Worm Blood'], [1.0, 'Alkali'], [3.0, 'Wild Mint'], [1.0, 'Honey']]"|Potion|N/A|Belt|-
Crafted Potion of Defense Rank 5|12.0|False|1050|1126|Chultan Masterwork - Alchemy II|Alchemy|0.5|"[[12.0, 'Sparkling Water'], [3.0, 'Mysterious Bone'], [1.0, 'Alkali'], [3.0, 'Wild Mint'], [1.0, 'Honey']]"|Potion|N/A|Belt|-
Crafted Potion of Deflect Rank 5|12.0|False|1050|1126|Chultan Masterwork - Alchemy II|Alchemy|0.5|"[[12.0, 'Sparkling Water'], [3.0, 'Dream Moss'], [1.0, 'Alkali'], [3.0, 'Wild Mint'], [1.0, 'Honey']]"|Potion|N/A|Belt|-
Crafted Potion of Power Rank 5|12.0|False|1050|1126|Chultan Masterwork - Alchemy II|Alchemy|0.5|"[[12.0, 'Sparkling Water'], [3.0, 'Shed Marblehorn'], [1.0, 'Alkali'], [3.0, 'Wild Mint'], [1.0, 'Honey']]"|Potion|N/A|Belt|-
Crafted Potion of Critical Severity Rank 5|12.0|False|1050|1126|Chultan Masterwork - Alchemy II|Alchemy|0.5|"[[12.0, 'Sparkling Water'], [3.0, 'Worm Tooth'], [1.0, 'Alkali'], [3.0, 'Wild Mint'], [1.0, 'Honey']]"|Potion|N/A|Belt|-
Commissioned Blightblockers|1.0|False|1400|1400|Sharandar Masterwork - Alchemy|Alchemy|0.5|"[[6.0, 'Hardened Blight Bark'], [6.0, ""Troll's Earwax Resin""], [2.0, ""Shadowdemon's Eyes""], [1.0, 'Feywood Lumber']]"|Commission Item|N/A|N/A|-
Commissioned Blightburner|1.0|False|1400|1400|Sharandar Masterwork - Alchemy|Alchemy|0.5|"[[6.0, 'Hardened Blight Bark'], [6.0, ""Weeping Willow's Tears""], [3.0, 'Alkali']]"|Commission Item|N/A|N/A|-
Commissioned Morning's Light Tea|1.0|False|1400|1400|Sharandar Masterwork - Alchemy|Alchemy|0.5|"[[4.0, ""Shadowdemon's Eyes""], [4.0, 'Shade Leaves'], [1.0, ""Shard of Dawn's Light""], [2.0, ""Weeping Willow's Tears""]]"|Commission Item|N/A|N/A|-
Commissioned Repellent|1.0|False|1400|1400|Sharandar Masterwork - Alchemy|Alchemy|0.5|"[[6.0, ""Troll's Earwax Resin""], [4.0, ""Weeping Willow's Tears""], [4.0, ""Shadowdemon's Eyes""]]"|Commission Item|N/A|N/A|-
Crafted Potion of Accuracy Rank 13|12.0|False|1400|1400|Sharandar Masterwork - Alchemy|Alchemy|1.25|"[[12.0, ""Weeping Willow's Tears""], [1.0, ""Shadowdemon's Eyes""], [1.0, 'Alkali'], [12.0, 'Sugar Beet']]"|Potion|N/A|Belt|-
Crafted Potion of Critical Strike Rank 13|12.0|False|1400|1400|Sharandar Masterwork - Alchemy|Alchemy|1.25|"[[12.0, ""Weeping Willow's Tears""], [1.0, ""Shadowdemon's Eyes""], [1.0, 'Alkali'], [12.0, 'Aberrant Blood']]"|Potion|N/A|Belt|-
Crafted Potion of Defense Rank 13|12.0|False|1400|1400|Sharandar Masterwork - Alchemy|Alchemy|1.25|"[[12.0, ""Weeping Willow's Tears""], [1.0, ""Shadowdemon's Eyes""], [1.0, 'Alkali'], [12.0, 'Aberrant Bone']]"|Potion|N/A|Belt|-
Crafted Potion of Deflect Rank 13|12.0|False|1400|1400|Sharandar Masterwork - Alchemy|Alchemy|1.25|"[[12.0, ""Weeping Willow's Tears""], [1.0, ""Shadowdemon's Eyes""], [1.0, 'Alkali'], [12.0, 'Chamomile']]"|Potion|N/A|Belt|-
Crafted Potion of Power Rank 13|12.0|False|1400|1400|Sharandar Masterwork - Alchemy|Alchemy|1.25|"[[12.0, ""Weeping Willow's Tears""], [1.0, ""Shadowdemon's Eyes""], [1.0, 'Alkali'], [12.0, 'Beast Horn']]"|Potion|N/A|Belt|-
Distilled Hermit's Bounty|1.0|False|1400|1400|Sharandar Masterwork - Alchemy|Alchemy|0.5|"[[6.0, ""Weeping Willow's Tears""], [3.0, 'Shade Leaves'], [1.0, 'Alkali'], [1.0, 'Myrrh']]"|Supplement|N/A|Supplement|-
Distilled Hermit's Calm|1.0|False|1400|1400|Sharandar Masterwork - Alchemy|Alchemy|0.5|"[[6.0, ""Weeping Willow's Tears""], [3.0, 'Shade Leaves'], [1.0, 'Alkali'], [1.0, 'Volcanic Salt']]"|Supplement|N/A|Supplement|-
Distilled Hermit's Focus|1.0|False|1400|1400|Sharandar Masterwork - Alchemy|Alchemy|0.5|"[[6.0, ""Weeping Willow's Tears""], [3.0, 'Shade Leaves'], [1.0, 'Alkali'], [1.0, 'Sugar Beet']]"|Supplement|N/A|Supplement|-
Distilled Hermit's Haste|1.0|False|1400|1400|Sharandar Masterwork - Alchemy|Alchemy|0.5|"[[6.0, ""Weeping Willow's Tears""], [3.0, 'Shade Leaves'], [1.0, 'Alkali'], [1.0, 'Honey']]"|Supplement|N/A|Supplement|-
Distilled Hermit's Keep|1.0|False|1400|1400|Sharandar Masterwork - Alchemy|Alchemy|0.5|"[[6.0, ""Weeping Willow's Tears""], [3.0, 'Shade Leaves'], [1.0, 'Alkali'], [1.0, 'Wild Mint']]"|Supplement|N/A|Supplement|-
Distilled Hermit's Quick|1.0|False|1400|1400|Sharandar Masterwork - Alchemy|Alchemy|0.5|"[[6.0, ""Weeping Willow's Tears""], [3.0, 'Shade Leaves'], [1.0, 'Alkali'], [1.0, 'Hardened Blight Bark']]"|Supplement|N/A|Supplement|-
Hermit's Incense|3.0|False|1400|1400|Sharandar Masterwork - Alchemy|Alchemy|1.25|"[[12.0, 'Hardened Blight Bark'], [12.0, ""Troll's Earwax Resin""], [12.0, 'Feywood Lumber']]"|Supplement|N/A|Supplement|-
Hermit's Medicinal Tea|3.0|False|1400|1400|Sharandar Masterwork - Alchemy|Alchemy|1.25|"[[12.0, ""Shadowdemon's Eyes""], [10.0, 'Hardened Blight Bark'], [6.0, 'Shade Leaves'], [3.0, 'Honey'], [3.0, ""Weeping Willow's Tears""]]"|Supplement|N/A|Supplement|-
Wootz Alembic|1.0|False|1400|1400|Chultan Masterwork - Armorsmithing II|Armorsmithing|10.0|"[[4.0, 'Wootz Steel Plate'], [1.0, 'Lichstone Enamel']]"|Tool|N/A|Tool|-
Mastered Bronzewood Assault Lapulapus|1.0|False|1400|1400|Chultan Masterwork - Armorsmithing II|Armorsmithing|10.0|"[[2.0, 'Hardened Bronzewood'], [2.0, 'Feathered Ornament'], [3.0, 'Lacquered Dinosaur Leather'], [1.0, 'Lichstone Enamel']]"|Gear|Barbarian|Feet|-
Mastered Bronzewood Raid Ibhuzus|1.0|False|1400|1400|Chultan Masterwork - Armorsmithing II|Armorsmithing|10.0|"[[2.0, 'Hardened Bronzewood'], [2.0, 'Feathered Ornament'], [3.0, 'Brilliant Bead'], [1.0, 'Lichstone Enamel']]"|Gear|Fighter|Feet|-
Mastered Bronzewood Raid Lapulapus|1.0|False|1400|1400|Chultan Masterwork - Armorsmithing II|Armorsmithing|10.0|"[[2.0, 'Hardened Bronzewood'], [2.0, 'Feathered Ornament'], [3.0, 'Lacquered Dinosaur Leather'], [1.0, 'Lichstone Enamel']]"|Gear|Barbarian|Feet|-
Mastered Bronzewood Raid Qalisas|1.0|False|1400|1400|Chultan Masterwork - Armorsmithing II|Armorsmithing|10.0|"[[2.0, 'Hardened Bronzewood'], [2.0, 'Jute Macrame'], [3.0, 'Lacquered Dinosaur Leather'], [1.0, 'Lichstone Enamel']]"|Gear|Cleric|Feet|-
Mastered Bronzewood Restoration Isikhumbas|1.0|False|1400|1400|Chultan Masterwork - Armorsmithing II|Armorsmithing|10.0|"[[2.0, 'Hardened Bronzewood'], [2.0, 'Feathered Ornament'], [3.0, 'Lakh Varnish'], [1.0, 'Lichstone Enamel']]"|Gear|Paladin|Feet|-
Mastered Bronzewood Restoration Qalisas|1.0|False|1400|1400|Chultan Masterwork - Armorsmithing II|Armorsmithing|10.0|"[[2.0, 'Hardened Bronzewood'], [2.0, 'Jute Macrame'], [3.0, 'Lacquered Dinosaur Leather'], [1.0, 'Lichstone Enamel']]"|Gear|Cleric|Feet|-
Mastered Bronzewood Ward Ibhuzus|1.0|False|1400|1400|Chultan Masterwork - Armorsmithing II|Armorsmithing|10.0|"[[2.0, 'Hardened Bronzewood'], [2.0, 'Feathered Ornament'], [3.0, 'Brilliant Bead'], [1.0, 'Lichstone Enamel']]"|Gear|Fighter|Feet|-
Mastered Bronzewood Ward Isikhumbas|1.0|False|1400|1400|Chultan Masterwork - Armorsmithing II|Armorsmithing|10.0|"[[2.0, 'Hardened Bronzewood'], [2.0, 'Feathered Ornament'], [3.0, 'Lakh Varnish'], [1.0, 'Lichstone Enamel']]"|Gear|Paladin|Feet|-
Mastered Bronzewood Assault Bangili|1.0|False|1400|1400|Chultan Masterwork - Armorsmithing II|Armorsmithing|10.0|"[[2.0, 'Hardened Bronzewood'], [2.0, 'Feathered Ornament'], [3.0, 'Chultan Silk Thread'], [1.0, 'Lichstone Enamel']]"|Gear|Barbarian|Arms|-
Mastered Bronzewood Raid Bangili|1.0|False|1400|1400|Chultan Masterwork - Armorsmithing II|Armorsmithing|10.0|"[[2.0, 'Hardened Bronzewood'], [2.0, 'Feathered Ornament'], [3.0, 'Chultan Silk Thread'], [1.0, 'Lichstone Enamel']]"|Gear|Barbarian|Arms|-
Mastered Bronzewood Raid Isikrinis|1.0|False|1400|1400|Chultan Masterwork - Armorsmithing II|Armorsmithing|10.0|"[[2.0, 'Hardened Bronzewood'], [2.0, 'Jute Macrame'], [3.0, 'Chultan Silk Thread'], [1.0, 'Lichstone Enamel']]"|Gear|Cleric|Arms|-
Mastered Bronzewood Raid Umdwebo|1.0|False|1400|1400|Chultan Masterwork - Armorsmithing II|Armorsmithing|10.0|"[[2.0, 'Hardened Bronzewood'], [2.0, 'Feathered Ornament'], [3.0, 'Lakh Varnish'], [1.0, 'Lichstone Enamel']]"|Gear|Fighter|Arms|-
Mastered Bronzewood Restoration Ibhendis|1.0|False|1400|1400|Chultan Masterwork - Armorsmithing II|Armorsmithing|10.0|"[[2.0, 'Hardened Bronzewood'], [2.0, 'Feathered Ornament'], [3.0, 'Brilliant Bead'], [1.0, 'Lichstone Enamel']]"|Gear|Paladin|Arms|-
Mastered Bronzewood Restoration Isikrinis|1.0|False|1400|1400|Chultan Masterwork - Armorsmithing II|Armorsmithing|10.0|"[[2.0, 'Hardened Bronzewood'], [2.0, 'Jute Macrame'], [3.0, 'Chultan Silk Thread'], [1.0, 'Lichstone Enamel']]"|Gear|Cleric|Arms|-
Mastered Bronzewood Ward Ibhendis|1.0|False|1400|1400|Chultan Masterwork - Armorsmithing II|Armorsmithing|10.0|"[[2.0, 'Hardened Bronzewood'], [2.0, 'Feathered Ornament'], [3.0, 'Brilliant Bead'], [1.0, 'Lichstone Enamel']]"|Gear|Paladin|Arms|-
Mastered Bronzewood Ward Umdwebo|1.0|False|1400|1400|Chultan Masterwork - Armorsmithing II|Armorsmithing|10.0|"[[2.0, 'Hardened Bronzewood'], [2.0, 'Feathered Ornament'], [3.0, 'Lakh Varnish'], [1.0, 'Lichstone Enamel']]"|Gear|Fighter|Arms|-
Mastered Bronzewood Assault Kanzu|1.0|False|1400|1400|Chultan Masterwork - Armorsmithing II|Armorsmithing|10.0|"[[4.0, 'Hardened Bronzewood'], [2.0, 'Lacquered Dinosaur Leather'], [2.0, 'Lion Fur'], [1.0, 'Chultan Silk'], [1.0, 'Lichstone Enamel']]"|Gear|Barbarian|Armor|-
Mastered Bronzewood Raid Eziwa|1.0|False|1400|1400|Chultan Masterwork - Armorsmithing II|Armorsmithing|10.0|"[[4.0, 'Hardened Bronzewood'], [2.0, 'Jute Macrame'], [2.0, 'Feathered Ornament'], [1.0, 'Chultan Silk'], [1.0, 'Lichstone Enamel']]"|Gear|Cleric|Armor|-
Mastered Bronzewood Raid Kanzu|1.0|False|1400|1400|Chultan Masterwork - Armorsmithing II|Armorsmithing|10.0|"[[4.0, 'Hardened Bronzewood'], [2.0, 'Lacquered Dinosaur Leather'], [2.0, 'Lion Fur'], [1.0, 'Chultan Silk'], [1.0, 'Lichstone Enamel']]"|Gear|Barbarian|Armor|-
Mastered Bronzewood Raid Sesifuba|1.0|False|1400|1400|Chultan Masterwork - Armorsmithing II|Armorsmithing|10.0|"[[4.0, 'Hardened Bronzewood'], [2.0, 'Lacquered Dinosaur Leather'], [2.0, 'Feathered Ornament'], [1.0, 'Chultan Silk'], [1.0, 'Lichstone Enamel']]"|Gear|Fighter|Armor|-
Mastered Bronzewood Restoration Eziwa|1.0|False|1400|1400|Chultan Masterwork - Armorsmithing II|Armorsmithing|10.0|"[[4.0, 'Hardened Bronzewood'], [2.0, 'Jute Macrame'], [2.0, 'Feathered Ornament'], [1.0, 'Chultan Silk'], [1.0, 'Lichstone Enamel']]"|Gear|Cleric|Armor|-
Mastered Bronzewood Restoration Ibhantshi|1.0|False|1400|1400|Chultan Masterwork - Armorsmithing II|Armorsmithing|10.0|"[[4.0, 'Hardened Bronzewood'], [2.0, 'Chultan Silk'], [2.0, 'Feathered Ornament'], [1.0, 'Lacquered Dinosaur Leather'], [1.0, 'Lichstone Enamel']]"|Gear|Paladin|Armor|-
Mastered Bronzewood Ward Ibhantshi|1.0|False|1400|1400|Chultan Masterwork - Armorsmithing II|Armorsmithing|10.0|"[[4.0, 'Hardened Bronzewood'], [2.0, 'Chultan Silk'], [2.0, 'Feathered Ornament'], [1.0, 'Lacquered Dinosaur Leather'], [1.0, 'Lichstone Enamel']]"|Gear|Paladin|Armor|-
Mastered Bronzewood Ward Sesifuba|1.0|False|1400|1400|Chultan Masterwork - Armorsmithing II|Armorsmithing|10.0|"[[4.0, 'Hardened Bronzewood'], [2.0, 'Lacquered Dinosaur Leather'], [2.0, 'Feathered Ornament'], [1.0, 'Chultan Silk'], [1.0, 'Lichstone Enamel']]"|Gear|Fighter|Armor|-
Mastered Bronzewood Assault Kofia|1.0|False|1400|1400|Chultan Masterwork - Armorsmithing II|Armorsmithing|10.0|"[[2.0, 'Hardened Bronzewood'], [2.0, 'Chultan Silk'], [3.0, 'Brilliant Bead'], [1.0, 'Lichstone Enamel']]"|Gear|Barbarian|Head|-
Mastered Bronzewood Raid Isigcina|1.0|False|1400|1400|Chultan Masterwork - Armorsmithing II|Armorsmithing|10.0|"[[2.0, 'Hardened Bronzewood'], [2.0, 'Jute Macrame'], [3.0, 'Chultan Silk Thread'], [1.0, 'Lichstone Enamel']]"|Gear|Cleric|Head|-
Mastered Bronzewood Raid Isigqoko|1.0|False|1400|1400|Chultan Masterwork - Armorsmithing II|Armorsmithing|10.0|"[[2.0, 'Hardened Bronzewood'], [2.0, 'Feathered Ornament'], [3.0, 'Brilliant Bead'], [1.0, 'Lichstone Enamel']]"|Gear|Fighter|Head|-
Mastered Bronzewood Raid Kofia|1.0|False|1400|1400|Chultan Masterwork - Armorsmithing II|Armorsmithing|10.0|"[[2.0, 'Hardened Bronzewood'], [2.0, 'Chultan Silk'], [3.0, 'Brilliant Bead'], [1.0, 'Lichstone Enamel']]"|Gear|Barbarian|Head|-
Mastered Bronzewood Restoration Isigcina|1.0|False|1400|1400|Chultan Masterwork - Armorsmithing II|Armorsmithing|10.0|"[[2.0, 'Hardened Bronzewood'], [2.0, 'Jute Macrame'], [3.0, 'Chultan Silk Thread'], [1.0, 'Lichstone Enamel']]"|Gear|Cleric|Head|-
Mastered Bronzewood Restoration Umqhele|1.0|False|1400|1400|Chultan Masterwork - Armorsmithing II|Armorsmithing|10.0|"[[2.0, 'Hardened Bronzewood'], [2.0, 'Feathered Ornament'], [3.0, 'Lakh Varnish'], [1.0, 'Lichstone Enamel']]"|Gear|Paladin|Head|-
Mastered Bronzewood Ward Isigqoko|1.0|False|1400|1400|Chultan Masterwork - Armorsmithing II|Armorsmithing|10.0|"[[2.0, 'Hardened Bronzewood'], [2.0, 'Feathered Ornament'], [3.0, 'Brilliant Bead'], [1.0, 'Lichstone Enamel']]"|Gear|Fighter|Head|-
Mastered Bronzewood Ward Umqhele|1.0|False|1400|1400|Chultan Masterwork - Armorsmithing II|Armorsmithing|10.0|"[[2.0, 'Hardened Bronzewood'], [2.0, 'Feathered Ornament'], [3.0, 'Lakh Varnish'], [1.0, 'Lichstone Enamel']]"|Gear|Paladin|Head|-
Mastered Bronzewood Cuauhchimalli|1.0|False|1400|1400|Chultan Masterwork - Armorsmithing II|Armorsmithing|10.0|"[[3.0, 'Living Bronzewood'], [4.0, 'Hardened Bronzewood'], [2.0, 'Lion Fur'], [1.0, 'Lacquered Dinosaur Leather']]"|Gear|Paladin|Off-Hand|-
Mastered Bronzewood Mahuizzochimalli|1.0|False|1400|1400|Chultan Masterwork - Armorsmithing II|Armorsmithing|10.0|"[[3.0, 'Living Bronzewood'], [4.0, 'Obsidian Shard'], [2.0, 'Feathered Ornament'], [1.0, 'Lion Fur']]"|Gear|Fighter|Off-Hand|-
Commissioned Finger Bow Releases|1.0|False|1400|1400|Sharandar Masterwork - Armorsmithing|Armorsmithing|10.0|"[[2.0, 'Feywood Lumber'], [2.0, 'Elm Lumber'], [2.0, 'Hardened Blight Bark'], [1.0, ""Shard of Dawn's Light""], [1.0, 'Soulfire Flies']]"|Commission Item|N/A|N/A|-
Commissioned Livingwood Bolts|1.0|False|1400|1400|Sharandar Masterwork - Armorsmithing|Armorsmithing|10.0|"[[6.0, 'Silvertongue Moss'], [4.0, ""Shard of Dawn's Light""], [2.0, 'Corpse Flower Thorn'], [1.0, 'Shattered Snowflakes'], [1.0, 'Salt-Marsh Crystal']]"|Commission Item|N/A|N/A|-
Commissioned Livingwood Quiver|1.0|False|1400|1400|Sharandar Masterwork - Armorsmithing|Armorsmithing|10.0|"[[4.0, 'Silvertongue Moss'], [4.0, ""Displacer Beast's Whisker""], [2.0, 'Shade Leaves'], [2.0, 'Feywood Lumber'], [2.0, ""Ears 'N Tears""]]"|Commission Item|N/A|N/A|-
Commissioned Shieldings|1.0|False|1400|1400|Sharandar Masterwork - Armorsmithing|Armorsmithing|10.0|"[[8.0, ""Shard of Dawn's Light""], [2.0, 'Copper Ingot'], [2.0, 'Silvertongue Moss'], [2.0, 'Hardened Blight Bark'], [1.0, 'Salt-Marsh Crystal']]"|Commission Item|N/A|N/A|-
Commissioned Spiked Trap|1.0|False|1400|1400|Sharandar Masterwork - Armorsmithing|Armorsmithing|10.0|"[[4.0, 'Hardened Feywood'], [1.0, 'Feywood Lumber'], [4.0, 'Corpse Flower Thorn'], [2.0, ""Ears 'N Tears""]]"|Commission Item|N/A|N/A|-
Commissioned Support Braces|1.0|False|1400|1400|Sharandar Masterwork - Armorsmithing|Armorsmithing|10.0|"[[1.0, 'Hardened Blight Bark'], [2.0, ""Shard of Dawn's Light""], [2.0, 'Soulfire Flies'], [1.0, 'Silver Vines'], [1.0, ""Dawn's Silver Enamel""]]"|Commission Item|N/A|N/A|-
Commissioned Trap Wires|1.0|False|1400|1400|Sharandar Masterwork - Armorsmithing|Armorsmithing|10.0|"[[6.0, 'Silvertongue Moss'], [3.0, 'Corpse Flower Thorn'], [2.0, ""Troll's Earwax Resin""], [1.0, ""Frozen Dawn's Dew""]]"|Commission Item|N/A|N/A|-
Commissioned Spider Barding|1.0|False|1400|1400|Sharandar Masterwork - Armorsmithing|Armorsmithing|10.0|"[[3.0, 'Feywood Lumber'], [2.0, ""Lacquered 'Aged' Leather""], [2.0, 'Soulfire Flies'], [2.0, ""Dawn's Silver Enamel""]]"|Commission Item|N/A|N/A|-
Feywood Buckler|1.0|False|1400|1400|Sharandar Masterwork - Armorsmithing|Armorsmithing|10.0|"[[3.0, 'Living Feywood'], [4.0, 'Silver Vines'], [2.0, 'Crystalline Ornament'], [1.0, 'Lacquered Leaves']]"|Gear|Paladin|Off-Hand|Set: MWVII Weapons
Feywood Shield|1.0|False|1400|1400|Sharandar Masterwork - Armorsmithing|Armorsmithing|10.0|"[[3.0, 'Living Feywood'], [4.0, 'Hardened Feywood'], [2.0, 'Lacquered Leaves'], [1.0, ""Lacquered 'Aged' Leather""]]"|Gear|Fighter|Off-Hand|Set: MWVII Weapons
Feywood Barbute|1.0|False|1400|1400|Sharandar Masterwork - Armorsmithing|Armorsmithing|10.0|"[[2.0, 'Hardened Feywood'], [2.0, 'Woven Fey Leaves'], [3.0, 'Beads of Light'], [1.0, ""Dawn's Silver Enamel""]]"|Gear|Barbarian|Head|+7.5k Critical Strike
Feywood Breastplate|1.0|False|1400|1400|Sharandar Masterwork - Armorsmithing|Armorsmithing|10.0|"[[4.0, 'Hardened Feywood'], [2.0, ""Lacquered 'Aged' Leather""], [2.0, 'Lacquered Leaves'], [1.0, 'Woven Fey Leaves'], [1.0, ""Dawn's Silver Enamel""]]"|Gear|Barbarian|Armor|+7.5k Power
Feywood Sprouts|1.0|False|1400|1400|Sharandar Masterwork - Armorsmithing|Armorsmithing|10.0|"[[2.0, 'Hardened Feywood'], [2.0, 'Crystalline Ornament'], [3.0, 'Fey Fibers'], [1.0, ""Dawn's Silver Enamel""]]"|Gear|Barbarian|Arms|+7.5k Critical Severity
Feywood Wetboots|1.0|False|1400|1400|Sharandar Masterwork - Armorsmithing|Armorsmithing|10.0|"[[2.0, 'Hardened Feywood'], [2.0, 'Crystalline Ornament'], [3.0, ""Lacquered 'Aged' Leather""], [1.0, ""Dawn's Silver Enamel""]]"|Gear|Barbarian|Feet|+7.5k Power
Fey'd Leaf Bark Crown|1.0|False|1400|1400|Sharandar Masterwork - Armorsmithing|Armorsmithing|10.0|"[[2.0, 'Hardened Feywood'], [2.0, 'Woven Whiskers'], [3.0, 'Fey Fibers'], [1.0, ""Dawn's Silver Enamel""]]"|Gear|Cleric|Head|+7.5k Critical Strike
Feywood Barkbrace|1.0|False|1400|1400|Sharandar Masterwork - Armorsmithing|Armorsmithing|10.0|"[[4.0, 'Hardened Feywood'], [2.0, 'Woven Whiskers'], [2.0, 'Crystalline Ornament'], [1.0, 'Woven Fey Leaves'], [1.0, ""Dawn's Silver Enamel""]]"|Gear|Cleric|Armor|+7.5k Power
Feywood Cuirass|1.0|False|1400|1400|Sharandar Masterwork - Armorsmithing|Armorsmithing|10.0|"[[4.0, 'Hardened Feywood'], [2.0, 'Woven Fey Leaves'], [2.0, 'Crystalline Ornament'], [1.0, ""Lacquered 'Aged' Leather""], [1.0, ""Dawn's Silver Enamel""]]"|Gear|Paladin|Armor|+7.5k Power
Feywood Sabatons|1.0|False|1400|1400|Sharandar Masterwork - Armorsmithing|Armorsmithing|10.0|"[[2.0, 'Hardened Feywood'], [2.0, 'Crystalline Ornament'], [3.0, ""Ears 'N Tears""], [1.0, ""Dawn's Silver Enamel""]]"|Gear|Paladin|Feet|+7.5k Power
